"","car_name","car_info","car_price","ad_time","car_moreInfo","car_links"
"108","GAZ 2705","2001, 2.4 L, 188 000 km","6 200 AZN","Sumqayıt, bugün 21:35","ŞəhərSumqayıtMarkaGAZModel2705Buraxılış ili2001Ban növüYük maşınıRəngBejMühərrik2.4 LMühərrikin gücü150 a.g.Yanacaq növüBenzinYürüş188 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət6 200 AZNYerlərin sayı3VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743239-gaz-2705"
"109","Chery Tiggo 8 Pro","2022, 1.6 L, 0 km","56 900 AZN","Bakı, bugün 16:25","ŞəhərBakıMarkaCheryModelTiggo 8 ProBuraxılış ili2022Ban növüOffroader / SUVRəngAğMühərrik1.6 LMühərrikin gücü197 a.g.Yanacaq növüBenzinYürüş0 kmSürətlər qutusuAvtomatÖtürücüÖnYeniBəliQiymət56 900 AZNBarter mümkündür","https://turbo.az/autos/6378525-chery-tiggo-8-pro"
"110","Haima 8S","2021, 1.6 L, 0 km","44 500 AZN","Bakı, bugün 14:56","ŞəhərBakıMarkaHaimaModel8SBuraxılış ili2021Ban növüOffroader / SUVRəngQırmızıMühərrik1.6 LMühərrikin gücü195 a.g.Yanacaq növüBenzinYürüş0 kmSürətlər qutusuAvtomatÖtürücüÖnYeniBəliQiymət44 500 AZNBarter mümkündür","https://turbo.az/autos/5751049-haima-8s"
"111","Chevrolet Malibu","2017, 1.5 L, 86 200 km","20 900 AZN","Bakı, 03.10.2022 08:14","ŞəhərBakıMarkaChevroletModelMalibuBuraxılış ili2017Ban növüSedanRəngYaş AsfaltMühərrik1.5 LMühərrikin gücü163 a.g.Yanacaq növüBenzinYürüş86 200 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət20 900 AZNBarter mümkündürHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6696300-chevrolet-malibu"
"112","Land Rover Defender","2021, 2.0 L, 15 000 km","109 500 $","Bakı, 14.10.2022 15:23","ŞəhərBakıMarkaLand RoverModelDefenderBuraxılış ili2021Ban növüOffroader / SUVRəngQaraMühərrik2.0 LMühərrikin gücü300 a.g.Yanacaq növüBenzinYürüş15 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət109 500 $Hansı bazar üçün yığılıbRəsmi dilerVəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6688373-land-rover-defender"
"113","Mercedes E 220","2017, 2.2 L, 360 000 km","32 800 $","Bakı, bugün 20:48","ŞəhərBakıMarkaMercedesModelE 220Buraxılış ili2017Ban növüSedanRəngQaraMühərrik2.2 LMühərrikin gücü194 a.g.Yanacaq növüDizelYürüş360 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət32 800 $Yerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6656003-mercedes-e-220"
"114","Kia Cerato","2015, 1.6 L, 128 748 km","19 400 AZN","Bakı, 05.10.2022 01:22","ŞəhərBakıMarkaKiaModelCeratoBuraxılış ili2015Ban növüHetçbekRəngAğMühərrik1.6 LMühərrikin gücü204 a.g.Yanacaq növüBenzinYürüş128 748 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət19 400 AZNYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6649083-kia-cerato"
"115","Hyundai Veloster","2020, 1.6 L, 43 000 km","26 500 $","Bakı, 12.10.2022 20:16","ŞəhərBakıMarkaHyundaiModelVelosterBuraxılış ili2020Ban növüHetçbekRəngBozMühərrik1.6 LMühərrikin gücü204 a.g.Yanacaq növüBenzinYürüş43 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət26 500 $Yerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6687571-hyundai-veloster"
"116","LADA (VAZ) 2115","2012, 1.6 L, 193 000 km","9 200 AZN","Balakən, 14.10.2022 18:54","ŞəhərBalakənMarkaLADA (VAZ)Model2115Buraxılış ili2012Ban növüSedanRəngQaraMühərrik1.6 LMühərrikin gücü80 a.g.Yanacaq növüBenzinYürüş193 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət9 200 AZNYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6708353-lada-vaz-2115"
"117","BMW X6","2008, 3.0 L, 133 000 km","23 900 $","Bakı, bugün 12:25","ŞəhərBakıMarkaBMWModelX6Buraxılış ili2008Ban növüOffroader / SUVRəngAğMühərrik3.0 LMühərrikin gücü306 a.g.Yanacaq növüBenzinYürüş133 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət23 900 $Yerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6520575-bmw-x6"
"118","Audi Q5","2021, 2.0 L, 1 784 km","57 500 $","Bakı, 03.10.2022 22:32","ŞəhərBakıMarkaAudiModelQ5Buraxılış ili2021Ban növüOffroader / SUVRəngYaş AsfaltMühərrik2.0 LMühərrikin gücü245 a.g.Yanacaq növüBenzinYürüş1 784 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət57 500 $Hansı bazar üçün yığılıbRəsmi dilerYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6553634-audi-q5"
"119","Hyundai Santa Fe","2008, 2.0 L, 70 000 km","21 900 AZN","Bakı, bugün 14:45","ŞəhərBakıMarkaHyundaiModelSanta FeBuraxılış ili2008Ban növüOffroader / SUVRəngMaviMühərrik2.0 LMühərrikin gücü184 a.g.Yanacaq növüDizelYürüş70 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət21 900 AZNYerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6703408-hyundai-santa-fe"
"120","Audi Q5","2013, 2.0 L, 213 870 km","35 000 AZN","Bakı, 14.10.2022 15:46","ŞəhərBakıMarkaAudiModelQ5Buraxılış ili2013Ban növüOffroader / SUVRəngBozMühərrik2.0 LMühərrikin gücü190 a.g.Yanacaq növüDizelYürüş213 870 kmSürətlər qutusuMexanikiÖtürücüTamYeniXeyrQiymət35 000 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6731556-audi-q5"
"121","Ford Fusion","2015, 1.5 L, 135 000 km","19 300 AZN","Bakı, bugün 21:39","ŞəhərBakıMarkaFordModelFusionBuraxılış ili2015Ban növüSedanRəngQaraMühərrik1.5 LMühərrikin gücü181 a.g.Yanacaq növüBenzinYürüş135 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət19 300 AZNYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6739735-ford-fusion"
"122","GAZ 2705","2001, 2.4 L, 188 000 km","6 200 AZN","Sumqayıt, bugün 21:35","ŞəhərSumqayıtMarkaGAZModel2705Buraxılış ili2001Ban növüYük maşınıRəngBejMühərrik2.4 LMühərrikin gücü150 a.g.Yanacaq növüBenzinYürüş188 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət6 200 AZNYerlərin sayı3VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743239-gaz-2705"
"123","Mercedes E 260","1988, 2.6 L, 500 000 km","4 700 AZN","Sumqayıt, bugün 21:34","ŞəhərSumqayıtMarkaMercedesModelE 260Buraxılış ili1988Ban növüSedanRəngGöyMühərrik2.6 LMühərrikin gücü166 a.g.Yanacaq növüBenzinYürüş500 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət4 700 AZNYerlərin sayı4VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743236-mercedes-e-260"
"124","Mercedes C 220","1993, 2.2 L, 296 000 km","7 400 AZN","Masallı, bugün 21:34","ŞəhərMasallıMarkaMercedesModelC 220Buraxılış ili1993Ban növüSedanRəngAğMühərrik2.2 LMühərrikin gücü150 a.g.Yanacaq növüBenzinYürüş296 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət7 400 AZNHansı bazar üçün yığılıbDigərYerlərin sayı5Sahiblər4 və daha çoxVəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743229-mercedes-c-220"
"125","Mercedes C 230","2000, 2.3 L, 219 604 km","13 500 AZN","Bərdə, bugün 21:33","ŞəhərBərdəMarkaMercedesModelC 230Buraxılış ili2000Ban növüSedanRəngAğMühərrik2.3 LMühərrikin gücü193 a.g.Yanacaq növüBenzinYürüş219 604 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət13 500 AZNYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6718788-mercedes-c-230"
"126","Kia Sorento","2003, 2.5 L, 380 824 km","14 900 AZN","Sumqayıt, bugün 21:33","ŞəhərSumqayıtMarkaKiaModelSorentoBuraxılış ili2003Ban növüOffroader / SUVRəngGümüşüMühərrik2.5 LMühərrikin gücü140 a.g.Yanacaq növüDizelYürüş380 824 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət14 900 AZNYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743227-kia-sorento"
"127","Hyundai i30","2008, 1.6 L, 163 000 km","14 600 AZN","Bakı, bugün 21:32","ŞəhərBakıMarkaHyundaiModeli30Buraxılış ili2008Ban növüUniversalRəngBejMühərrik1.6 LMühərrikin gücü122 a.g.Yanacaq növüDizelYürüş163 000 kmSürətlər qutusuMexanikiÖtürücüTamYeniXeyrQiymət14 600 AZNKreditdədirHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6743226-hyundai-i30"
"128","Volvo S 40","2000, 2.0 L, 365 321 km","6 400 AZN","Bakı, bugün 21:31","ŞəhərBakıMarkaVolvoModelS 40Buraxılış ili2000Ban növüSedanRəngGümüşüMühərrik2.0 LMühərrikin gücü163 a.g.Yanacaq növüBenzinYürüş365 321 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət6 400 AZNHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər3VəziyyətiVuruğu var, rənglənib","https://turbo.az/autos/6743224-volvo-s-40"
"129","Toyota Vitz","2013, 1.3 L, 27 040 km","13 800 AZN","Bakı, bugün 21:31","ŞəhərBakıMarkaToyotaModelVitzBuraxılış ili2013Ban növüHetçbekRəngGümüşüMühərrik1.3 LMühərrikin gücü95 a.g.Yanacaq növüBenzinYürüş27 040 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət13 800 AZNHansı bazar üçün yığılıbYaponiyaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6736459-toyota-vitz"
"130","Mercedes 190","1985, 2.0 L, 150 000 km","5 650 AZN","Sumqayıt, bugün 21:30","ŞəhərSumqayıtMarkaMercedesModel190Buraxılış ili1985Ban növüSedanRəngBejMühərrik2.0 LMühərrikin gücü122 a.g.Yanacaq növüDizelYürüş150 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət5 650 AZNYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743222-mercedes-190"
"131","LADA (VAZ) 2106","2001, 1.6 L, 200 000 km","5 200 AZN","Lənkəran, bugün 21:30","ŞəhərLənkəranMarkaLADA (VAZ)Model2106Buraxılış ili2001Ban növüSedanRəngAğMühərrik1.6 LMühərrikin gücü75 a.g.Yanacaq növüBenzinYürüş200 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət5 200 AZNBarter mümkündürHansı bazar üçün yığılıbDigərYerlərin sayı4Sahiblər2VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6743220-lada-vaz-2106"
"132","Opel Astra","1998, 1.6 L, 558 690 km","7 800 AZN","Bakı, bugün 21:29","ŞəhərBakıMarkaOpelModelAstraBuraxılış ili1998Ban növüUniversalRəngGöyMühərrik1.6 LMühərrikin gücü75 a.g.Yanacaq növüBenzinYürüş558 690 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət7 800 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743216-opel-astra"
"133","Lexus LX 570","2016, 5.7 L, 60 000 km","99 000 $","Bakı, bugün 21:29","ŞəhərBakıMarkaLexusModelLX 570Buraxılış ili2016Ban növüOffroader / SUVRəngQaraMühərrik5.7 LMühərrikin gücü367 a.g.Yanacaq növüBenzinYürüş60 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət99 000 $Hansı bazar üçün yığılıbAvropaYerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743213-lexus-lx-570"
"134","Hyundai Sonata","2016, 2.0 L, 93 451 km","29 500 AZN","Bakı, bugün 21:28","ŞəhərBakıMarkaHyundaiModelSonataBuraxılış ili2016Ban növüSedanRəngAğMühərrik2.0 LMühərrikin gücü272 a.g.Yanacaq növüBenzinYürüş93 451 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət29 500 AZNHansı bazar üçün yığılıbAmerikaYerlərin sayı4Sahiblər1VəziyyətiVuruğu var, rənglənib","https://turbo.az/autos/6743212-hyundai-sonata"
"135","Hyundai Sonata","2012, 2.0 L, 123 500 km","19 000 AZN","Bakı, bugün 21:28","ŞəhərBakıMarkaHyundaiModelSonataBuraxılış ili2012Ban növüSedanRəngQaraMühərrik2.0 LMühərrikin gücü274 a.g.Yanacaq növüBenzinYürüş123 500 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət19 000 AZNHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6647267-hyundai-sonata"
"136","Mercedes E 220","2001, 2.2 L, 56 000 km","17 500 AZN","Bakı, bugün 21:28","ŞəhərBakıMarkaMercedesModelE 220Buraxılış ili2001Ban növüSedanRəngGümüşüMühərrik2.2 LMühərrikin gücü143 a.g.Yanacaq növüDizelYürüş56 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət17 500 AZNHansı bazar üçün yığılıbDigərYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6743211-mercedes-e-220"
"137","Opel Vectra","1995, 2.0 L, 345 863 km","3 000 AZN","Qusar, bugün 21:26","ŞəhərQusarMarkaOpelModelVectraBuraxılış ili1995Ban növüSedanRəngAğMühərrik2.0 LMühərrikin gücü136 a.g.Yanacaq növüBenzinYürüş345 863 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət3 000 AZNBarter mümkündürHansı bazar üçün yığılıbDigərYerlərin sayı4VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743209-opel-vectra"
"138","Mercedes 190","1989, 2.0 L, 369 872 km","4 500 AZN","Bakı, bugün 21:26","ŞəhərBakıMarkaMercedesModel190Buraxılış ili1989Ban növüSedanRəngAğMühərrik2.0 LMühərrikin gücü122 a.g.Yanacaq növüBenzinYürüş369 872 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət4 500 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743208-mercedes-190"
"139","Toyota Vitz","2012, 1.3 L, 42 000 km","13 700 AZN","Bakı, bugün 21:25","ŞəhərBakıMarkaToyotaModelVitzBuraxılış ili2012Ban növüHetçbekRəngGümüşüMühərrik1.3 LMühərrikin gücü95 a.g.Yanacaq növüBenzinYürüş42 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət13 700 AZNYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6721224-toyota-vitz"
"140","Mazda CX-9","2012, 3.7 L, 178 000 km","22 800 AZN","Bakı, bugün 21:25","ŞəhərBakıMarkaMazdaModelCX-9Buraxılış ili2012Ban növüOffroader / SUVRəngAğMühərrik3.7 LMühərrikin gücü273 a.g.Yanacaq növüBenzinYürüş178 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət22 800 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6694434-mazda-cx-9"
"141","Mercedes ML 430","2001, 4.3 L, 242 500 km","7 800 AZN","Bakı, bugün 21:24","ŞəhərBakıMarkaMercedesModelML 430Buraxılış ili2001Ban növüOffroader / SUVRəngYaşılMühərrik4.3 LMühərrikin gücü272 a.g.Yanacaq növüBenzinYürüş242 500 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət7 800 AZNKreditdədirBarter mümkündürHansı bazar üçün yığılıbAvropaYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743174-mercedes-ml-430"
"142","Hyundai i30","2010, 1.6 L, 167 444 km","15 400 AZN","Bakı, bugün 21:24","ŞəhərBakıMarkaHyundaiModeli30Buraxılış ili2010Ban növüUniversalRəngGümüşüMühərrik1.6 LMühərrikin gücü116 a.g.Yanacaq növüDizelYürüş167 444 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət15 400 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6738316-hyundai-i30"
"143","Kia Picanto","2013, 1.3 L, 121 000 km","15 850 AZN","Bakı, bugün 21:24","ŞəhərBakıMarkaKiaModelPicantoBuraxılış ili2013Ban növüHetçbekRəngMaviMühərrik1.3 LMühərrikin gücü85 a.g.Yanacaq növüBenzinYürüş121 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət15 850 AZNBarter mümkündürYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6706039-kia-picanto"
"144","Chevrolet Lacetti","2006, 1.6 L, 375 000 km","8 900 AZN","Bakı, bugün 21:26","ŞəhərBakıMarkaChevroletModelLacettiBuraxılış ili2006Ban növüSedanRəngAğMühərrik1.6 LMühərrikin gücü109 a.g.Yanacaq növüBenzinYürüş375 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət8 900 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743204-chevrolet-lacetti"
"145","Nissan Juke","2014, 1.6 L, 90 000 km","23 500 AZN","Bakı, 23.09.2022 16:08","ŞəhərBakıMarkaNissanModelJukeBuraxılış ili2014Ban növüOffroader / SUVRəngAğMühərrik1.6 LMühərrikin gücü117 a.g.Yanacaq növüBenzinYürüş90 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət23 500 AZNBarter mümkündürHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6662556-nissan-juke"
"146","Mercedes E 220","2008, 2.2 L, 316 419 km","25 900 AZN","Sumqayıt, bugün 16:50","ŞəhərSumqayıtMarkaMercedesModelE 220Buraxılış ili2008Ban növüSedanRəngQaraMühərrik2.2 LMühərrikin gücü270 a.g.Yanacaq növüDizelYürüş316 419 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət25 900 AZNBarter mümkündürHansı bazar üçün yığılıbAvropaYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6712086-mercedes-e-220"
"147","BMW X6 M","2020, 4.4 L, 15 000 km","172 000 $","Bakı, 03.10.2022 14:48","ŞəhərBakıMarkaBMWModelX6 MBuraxılış ili2020Ban növüOffroader / SUVRəngBozMühərrik4.4 LMühərrikin gücü625 a.g.Yanacaq növüBenzinYürüş15 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət172 000 $Barter mümkündür","https://turbo.az/autos/5899216-bmw-x6-m"
"148","Jeep Wrangler","2022, 2.0 L, 0 km","73 000 $","Bakı, 12.10.2022 10:57","ŞəhərBakıMarkaJeepModelWranglerBuraxılış ili2022Ban növüOffroader / SUVRəngQaraMühərrik2.0 LMühərrikin gücü272 a.g.Yanacaq növüBenzinYürüş0 kmSürətlər qutusuAvtomatÖtürücüTamYeniBəliQiymət73 000 $Barter mümkündürHansı bazar üçün yığılıbRəsmi dilerYerlərin sayı4VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6677949-jeep-wrangler"
"149","Mercedes Sprinter 316","2015, 2.2 L, 95 000 km","26 800 $","Bakı, dünən 17:57","ŞəhərBakıMarkaMercedesModelSprinter 316Buraxılış ili2015Ban növüFurqonRəngAğMühərrik2.2 LMühərrikin gücü125 a.g.Yanacaq növüDizelYürüş95 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət26 800 $Hansı bazar üçün yığılıbAmerikaSahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6739589-mercedes-sprinter-316"
"150","BMW X5","2014, 3.0 L, 146 000 km","44 500 $","Bakı, bugün 04:08","ŞəhərBakıMarkaBMWModelX5Buraxılış ili2014Ban növüOffroader / SUVRəngGöyMühərrik3.0 LMühərrikin gücü313 a.g.Yanacaq növüDizelYürüş146 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət44 500 $Barter mümkündürHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6667462-bmw-x5"
"151","Lexus RX 350","2014, 3.5 L, 155 566 km","33 000 $","Bakı, 04.10.2022 10:47","ŞəhərBakıMarkaLexusModelRX 350Buraxılış ili2014Ban növüOffroader / SUVRəngAğMühərrik3.5 LMühərrikin gücü277 a.g.Yanacaq növüBenzinYürüş155 566 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət33 000 $Yerlərin sayı4Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6700822-lexus-rx-350"
"152","Chevrolet Cruze","2015, 1.4 L, 160 000 km","15 500 AZN","Bakı, dünən 11:36","ŞəhərBakıMarkaChevroletModelCruzeBuraxılış ili2015Ban növüSedanRəngBozMühərrik1.4 LMühərrikin gücü141 a.g.Yanacaq növüBenzinYürüş160 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət15 500 AZNKreditdədirYerlərin sayı4Sahiblər3VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6635395-chevrolet-cruze"
"153","Nissan Altima","2019, 2.0 L, 40 000 km","28 000 $","Bakı, 14.10.2022 08:34","ŞəhərBakıMarkaNissanModelAltimaBuraxılış ili2019Ban növüSedanRəngYaş AsfaltMühərrik2.0 LMühərrikin gücü248 a.g.Yanacaq növüBenzinYürüş40 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət28 000 $Barter mümkündürHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6661623-nissan-altima"
"154","Volkswagen Passat","2008, 1.8 L, 114 000 km","10 700 AZN","Bakı, bugün 21:55","ŞəhərBakıMarkaVolkswagenModelPassatBuraxılış ili2008Ban növüSedanRəngQaraMühərrik1.8 LMühərrikin gücü160 a.g.Yanacaq növüBenzinYürüş114 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət10 700 AZNYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6715430-volkswagen-passat"
"155","Toyota Land Cruiser","2020, 4.0 L, 23 000 km","76 500 $","Bakı, 13.10.2022 14:16","ŞəhərBakıMarkaToyotaModelLand CruiserBuraxılış ili2020Ban növüOffroader / SUVRəngAğMühərrik4.0 LMühərrikin gücü282 a.g.Yanacaq növüBenzinYürüş23 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət76 500 $Hansı bazar üçün yığılıbRəsmi dilerYerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6680897-toyota-land-cruiser"
"156","Chevrolet Cruze","2018, 1.4 L, 155 000 km","16 700 AZN","Bakı, bugün 14:14","ŞəhərBakıMarkaChevroletModelCruzeBuraxılış ili2018Ban növüSedanRəngAğMühərrik1.4 LMühərrikin gücü153 a.g.Yanacaq növüBenzinYürüş155 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət16 700 AZNYerlərin sayı5Sahiblər3VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6470645-chevrolet-cruze"
"157","LADA (VAZ) 2115","2012, 1.6 L, 116 000 km","9 800 AZN","Ağdaş, bugün 21:22","ŞəhərAğdaşMarkaLADA (VAZ)Model2115Buraxılış ili2012Ban növüSedanRəngAğMühərrik1.6 LMühərrikin gücü75 a.g.Yanacaq növüBenzinYürüş116 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət9 800 AZNBarter mümkündürYerlərin sayı4Sahiblər2VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6711420-lada-vaz-2115"
"158","Hyundai Elantra","2013, 1.8 L, 112 000 km","20 700 AZN","Bakı, bugün 21:22","ŞəhərBakıMarkaHyundaiModelElantraBuraxılış ili2013Ban növüSedanRəngTünd qırmızıMühərrik1.8 LMühərrikin gücü150 a.g.Yanacaq növüBenzinYürüş112 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət20 700 AZNHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743176-hyundai-elantra"
"159","Mercedes E 240","1999, 2.4 L, 431 000 km","13 700 AZN","Bakı, bugün 21:22","ŞəhərBakıMarkaMercedesModelE 240Buraxılış ili1999Ban növüSedanRəngGümüşüMühərrik2.4 LMühərrikin gücü170 a.g.Yanacaq növüBenzinYürüş431 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət13 700 AZNBarter mümkündürHansı bazar üçün yığılıbAvropaYerlərin sayı4VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6743201-mercedes-e-240"
"160","BMW M6","2014, 4.4 L, 64 000 km","55 000 $","Bakı, bugün 21:21","ŞəhərBakıMarkaBMWModelM6Buraxılış ili2014Ban növüSedanRəngAğMühərrik4.4 LMühərrikin gücü560 a.g.Yanacaq növüBenzinYürüş64 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət55 000 $Hansı bazar üçün yığılıbRəsmi dilerYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743200-bmw-m6"
